timestamp,open,close,volume
2019-06-20,137.4500,136.2500,17140479
2019-06-19,135.0000,135.6900,23720342
2019-06-18,134.1900,135.1600,25934458
2019-06-17,132.6300,132.8500,14517785
2019-06-14,132.2600,132.4500,17821703
2019-06-13,131.9800,132.3200,17200848
2019-06-12,131.4000,131.4900,17092464
2019-06-11,133.8800,132.1000,23913731
2019-06-10,132.4000,132.6000,26477098
2019-06-07,129.1900,131.4000,33885588
2019-06-06,126.4400,127.8200,21458961
2019-06-05,124.9500,125.8300,24926140
2019-06-04,121.2800,123.1600,29382642
2019-06-03,123.8500,119.8400,37983637
2019-05-31,124.2300,123.6800,26646769
2019-05-30,125.2600,125.7300,16829613
2019-05-29,125.3800,124.9400,22763140
2019-05-28,126.9800,126.1600,23128359
2019-05-24,126.9100,126.2400,14123358
2019-05-23,126.2000,126.1800,23603810
2019-05-22,126.6200,127.6700,15396485
2019-05-21,127.4300,126.9000,15293260
2019-05-20,126.5200,126.2200,23706934
2019-05-17,128.3050,128.0700,25770539
2019-05-16,126.7500,128.9300,30112216
2019-05-15,124.2600,126.0200,24722708
2019-05-14,123.8700,124.7300,25266315
2019-05-13,124.1100,123.3500,33944923
2019-05-10,124.9100,127.1300,30915084
2019-05-09,124.2900,125.5000,27235835
2019-05-08,125.4400,125.5100,28418996
2019-05-07,126.4600,125.5200,36017661
2019-05-06,126.3900,128.1500,24239464
2019-05-03,127.3600,128.9000,24911126
2019-05-02,127.9800,126.2100,27350161
2019-05-01,130.5300,127.8800,26821692
2019-04-30,129.8100,130.6000,24166503
2019-04-29,129.9000,129.7700,16324183
2019-04-26,129.7000,129.8900,23654933
2019-04-25,130.0600,129.1500,38033892
2019-04-24,125.7900,125.0100,31256980
2019-04-23,124.1000,125.4400,24025521
2019-04-22,122.6200,123.7600,15648724
2019-04-18,122.1900,123.3700,27990998
2019-04-17,121.2400,121.7700,19300938
2019-04-16,121.6400,120.7700,14071787
2019-04-15,120.9400,121.0500,15792572
2019-04-12,120.6400,120.9500,19745143
2019-04-11,120.5400,120.3300,14209121
2019-04-10,119.7600,120.1900,16477169
2019-04-09,118.6300,119.2800,17611981
2019-04-08,119.8100,119.9300,15116186
2019-04-05,119.3900,119.8900,15826245
2019-04-04,120.1000,119.3600,20112848
2019-04-03,119.8600,119.9700,22860744
2019-04-02,119.0600,119.1900,18142297
2019-04-01,118.9500,119.0200,22789103
2019-03-29,118.0700,117.9400,25399752
2019-03-28,117.4400,116.9300,18334755
2019-03-27,117.8750,116.7700,22733427
2019-03-26,118.6200,117.9100,26097665
2019-03-25,116.5600,117.6600,27067117
2019-03-22,119.5000,117.0500,33624528
2019-03-21,117.1350,120.2200,29854446
2019-03-20,117.3900,117.5200,28113343
2019-03-19,118.0900,117.6500,37588697
2019-03-18,116.1700,117.5700,31207596
2019-03-15,115.3400,115.9100,54630661
2019-03-14,114.5400,114.5900,30763367
2019-03-13,114.1300,114.5000,35513771
2019-03-12,112.8200,113.6200,26132717
2019-03-11,110.9900,112.8300,26491618
2019-03-08,109.1600,110.5100,22818430
2019-03-07,111.4000,110.3900,25338954
2019-03-06,111.8700,111.7500,17686996
2019-03-05,112.2500,111.7000,19538318
2019-03-04,113.0200,112.2600,26608014
2019-03-01,112.8900,112.5300,23501169
2019-02-28,112.0400,112.0300,29083934
2019-02-27,111.6900,112.1700,21487062
2019-02-26,111.2600,112.3600,21536733
2019-02-25,111.7600,111.5900,23750599
2019-02-22,110.0500,110.9700,27763218
2019-02-21,106.9000,109.4100,29063231
2019-02-20,107.8600,107.1500,21607671
2019-02-19,107.7900,108.1700,18038460
2019-02-15,107.9100,108.2200,26606886
2019-02-14,106.3100,106.9000,21784703
2019-02-13,107.5000,106.8100,18394869
2019-02-12,106.1400,106.8900,25056595
2019-02-11,106.2000,105.2500,18914123
2019-02-08,104.3900,105.6700,21461093
2019-02-07,105.1850,105.2700,29760697
2019-02-06,107.0000,106.0300,20609759
2019-02-05,106.0600,107.2200,27325365
2019-02-04,102.8700,105.7400,31315282
2019-02-01,103.7750,102.7800,35535690
2019-01-31,103.8000,104.4300,55636391
2019-01-30,104.6200,106.3800,49471866
2019-01-29,104.8800,102.9400,31490547
